Title,Price,Brand
"Apple MacBook Pro 14 Inch Space Grey",1999.99,Apple
"Asus Zenbook Pro Dual Screen Laptop",1799.99,Asus
"Huawei Matebook X Pro",1399.99,Huawei
"Lenovo Yoga 920",1099.99,Lenovo
"New DELL XPS 13 9300 Laptop",1499.99,Dell
