"Package Name","Installation Instruction","Released Date","Short Description",Author,Maintainer
"tl3 0.0.11","pip install tl3
          
            
            Copy PIP instructions","Released: 
  Aug 20, 2024","Two-line element (TLE) management with a focus on downloading and operating on every TLE ever published by Space-Track",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/8fe2a562cec5b3bddf3ca603ae2f849dee573c73/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f38376161326331646434626131386238396233393733393133616366643962663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for liamers from gravatar.com"" title=""Avatar for liamers from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            liamers
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/8fe2a562cec5b3bddf3ca603ae2f849dee573c73/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f38376161326331646434626131386238396233393733393133616366643962663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for liamers from gravatar.com"" title=""Avatar for liamers from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            liamers
          </span>
        "
"tldextract 5.1.2","pip install tldextract
          
            
            Copy PIP instructions","Released: 
  Mar 19, 2024","Accurately separates a URL&#39;s subdomain, domain, and public suffix, using the Public Suffix List (PSL). By default, this includes the public ICANN TLDs and their exceptions. You can optionally support the Public Suffix List&#39;s private domains as well.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/12ae743b0cb194250a29498e5066b77a6941eb00/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f31306439353366323638366436623162303264363966646532646536336266663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for John.Kurkowski from gravatar.com"" title=""Avatar for John.Kurkowski from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            John.Kurkowski
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/12ae743b0cb194250a29498e5066b77a6941eb00/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f31306439353366323638366436623162303264363966646532646536336266663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for John.Kurkowski from gravatar.com"" title=""Avatar for John.Kurkowski from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            John.Kurkowski
          </span>
        "
"tldrstory 1.4.0","pip install tldrstory
          
            
            Copy PIP instructions","Released: 
  Aug 18, 2021","AI-powered understanding of headlines and story text",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/a74cf480e83b7f1953f1d4161fbe6093ccb1daac/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f34353634386665643932656137386662383432326136353535313265333834333f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for davidmezzetti from gravatar.com"" title=""Avatar for davidmezzetti from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            davidmezzetti
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/a74cf480e83b7f1953f1d4161fbe6093ccb1daac/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f34353634386665643932656137386662383432326136353535313265333834333f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for davidmezzetti from gravatar.com"" title=""Avatar for davidmezzetti from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            davidmezzetti
          </span>
        "
"tld-task 1.0.0","pip install tld-task
          
            
            Copy PIP instructions","Released: 
  Jul 7, 2018","tld is a tool for people who want to do things, but who want a bit of flexibility.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/231ea86be9421daacfe734992898d00b9c924289/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f65313865313735346564333761346465316461623765393762313232316539663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for davidlowryduda from gravatar.com"" title=""Avatar for davidlowryduda from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            davidlowryduda
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/231ea86be9421daacfe734992898d00b9c924289/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f65313865313735346564333761346465316461623765393762313232316539663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for davidlowryduda from gravatar.com"" title=""Avatar for davidlowryduda from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            davidlowryduda
          </span>
        "
"tle2czml 0.3","pip install tle2czml
          
            
            Copy PIP instructions","Released: 
  Oct 31, 2020","Convert TLE&#39;s to CZML file",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/c42cc893e324bb00b317d4a49ba232165dad8623/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f62313630616563643863373135326535336332656365323031323732303133313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for kujosHeist from gravatar.com"" title=""Avatar for kujosHeist from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            kujosHeist
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/c42cc893e324bb00b317d4a49ba232165dad8623/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f62313630616563643863373135326535336332656365323031323732303133313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for kujosHeist from gravatar.com"" title=""Avatar for kujosHeist from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            kujosHeist
          </span>
        "
,,,,,
"tlpytools 0.1.5","pip install tlpytools
          
            
            Copy PIP instructions","Released: 
  Jul 19, 2024","A set of tools for building models at the TransLink Forecasting Team",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/b6b1a56d08d6ce965c4628be97b77b5c1823a25b/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f61643030643434306332373630613739343964623765346636383134346334663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for amirmj from gravatar.com"" title=""Avatar for amirmj from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            amirmj
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/5c4397f0c6f19f07a64d033e1861a929e9b2755d/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f39613934326438663433633530646337353964363866626161663534383035383f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for bwen from gravatar.com"" title=""Avatar for bwen from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            bwen
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/70abae1fe0d8c39ae06ca92493162ec87fe88f51/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f36616630323938653837366366633361613864633161613537336361366138303f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for tlforecasting from gravatar.com"" title=""Avatar for tlforecasting from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            tlforecasting
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/b6b1a56d08d6ce965c4628be97b77b5c1823a25b/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f61643030643434306332373630613739343964623765346636383134346334663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for amirmj from gravatar.com"" title=""Avatar for amirmj from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            amirmj
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/5c4397f0c6f19f07a64d033e1861a929e9b2755d/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f39613934326438663433633530646337353964363866626161663534383035383f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for bwen from gravatar.com"" title=""Avatar for bwen from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            bwen
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/70abae1fe0d8c39ae06ca92493162ec87fe88f51/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f36616630323938653837366366633361613864633161613537336361366138303f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for tlforecasting from gravatar.com"" title=""Avatar for tlforecasting from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            tlforecasting
          </span>
        "
"tlscli 1.1.0","pip install tlscli
          
            
            Copy PIP instructions","Released: 
  Apr 2, 2013","Text User Interface client for CORBA Telecom Log Service.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/f54c99527bb0b957c42143da15265fd897ea9a66/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f36303535363434393764643831363137663763363562373564336665366538663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for tgg from gravatar.com"" title=""Avatar for tgg from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            tgg
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/f54c99527bb0b957c42143da15265fd897ea9a66/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f36303535363434393764643831363137663763363562373564336665366538663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for tgg from gravatar.com"" title=""Avatar for tgg from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            tgg
          </span>
        "
"tlsmate-client-simul 1.0.1","pip install tlsmate-client-simul
          
            
            Copy PIP instructions","Released: 
  Mar 27, 2022","Simulates multiple different client bahviors",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/80c200c8ba30b85941c930e2fb55bde00a23a172/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f36613062613935326138383361393661313234303836616666333361316362663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for guballa from gravatar.com"" title=""Avatar for guballa from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            guballa
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/80c200c8ba30b85941c930e2fb55bde00a23a172/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f36613062613935326138383361393661313234303836616666333361316362663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for guballa from gravatar.com"" title=""Avatar for guballa from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            guballa
          </span>
        "
"tlstrust 2.9.0","pip install tlstrust
          
            
            Copy PIP instructions","Released: 
  Oct 17, 2023","Utilities that assist with trust relationship checking of X.509 Certificates for various end-user devices with disparate root trust stores.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/d623bd5875bcc47059177490ce128ab4dce07041/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f38633333666264303333616664633862383064343939313039636536666238653f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for chrislangton from gravatar.com"" title=""Avatar for chrislangton from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            chrislangton
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/d623bd5875bcc47059177490ce128ab4dce07041/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f38633333666264303333616664633862383064343939313039636536666238653f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for chrislangton from gravatar.com"" title=""Avatar for chrislangton from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            chrislangton
          </span>
        "
